Driver,Team,Time,Laps,Year
Sebastian Vettel,Ferrari,76.221,110,2019
Lewis Hamilton,Mercedes,76.224,61,2019
Valtteri Bottas,Mercedes,76.561,71,2019
Nico Hulkenburg,Alpine,76.843,51,2019
Danniil Kvyat,Alpha Tauri,76.898,131,2019
Carlos Sainz,McLaren,76.913,134,2019
Romain Grosjean,Haas,77.076,73,2019
Daniel Ricciardo,Alpine,77.114,52,2019
Kimi Raikkonen,Alfa Romeo,77.239,132,2019
Kevin Magnussen,Haas,77.565,94,2019
Max Verstappen,Red Bull,77.709,29,2019
Sergio Perez,Aston Martin,77.791,104,2019
Robert Kubica,Williams,78.993,90,2019
Valtteri Bottas,Mercedes,75.732,65,2020
Lewis Hamilton,Mercedes,76.516,73,2020
Esteban Ocon,Alpine,77.102,76,2020
Lance Stroll,Aston Martin,77.338,116,2020
Danniil Kvyat,Alpha Tauri,77.427,62,2020
Antonio Giovinazzi,Alfa Romeo,77.469,152,2020
Daniel Ricciardo,Alpine,77.564,93,2020
Max Verstappen,Red Bull,77.636,86,2020
Pierre Gasly,Alpha Tauri,77.783,59,2020
Alex Albon,Red Bull,78.154,83,2020
Carlos Sainz,McLaren,78.274,76,2020
Romain Grosjean,Haas,78.38,48,2020
Sebastian Vettel,Ferrari,78.384,100,2020
Lando Norris,McLaren,78.454,49,2020
Nicholas Latifi,Williams,79.004,72,2020
Kevin Magnussen,Haas,79.709,4,2020
Max Verstappen,Red Bull,88.96,64,2021
Yuki Tsunoda,Alpha Tauri,89.053,91,2021
Carlos Sainz,Ferrari,89.611,79,2021
Kimi Raikkonen,Alfa Romeo,89.766,165,2021
Lewis Hamilton,Mercedes,90.025,54,2021
George Russell,Williams,90.117,157,2021
Daniel Ricciardo,McLaren,90.144,75,2021
Sergio Perez,Red Bull,90.187,49,2021
Fernando Alonso,Alpine,90.318,77,2021
Charles Leclerc,Ferrari,90.486,80,2021
Lando Norris,McLaren,90.661,56,2021
Pierre Gasly,Alpha Tauri,90.828,76,2021
Esteban Ocon,Alpine,91.31,61,2021
Nikita Mazepin,Haas,91.531,67,2021
Mick Schumacher,Haas,92.053,78,2021
Valtteri Bottas,Mercedes,92.406,86,2021
Sebastian Vettel,Aston Martin,95.041,56,2021
Lance Stroll,Aston Martin,96.1,80,2021
